Saving Private Ryan,The Godfather: Part II,Troy,The Usual Suspects,,,,,,
The Social Network,War of the Worlds,Memento,The Dark Knight Rises,Die Hard,The Hobbit,Spider-Man: Homecoming,Fargo,Raiders of the Lost Ark,
Avatar,The Martian,Star Trek,Rocky,The Departed,Memento,Blade Runner,Black Swan,In Bruges,Cloverfield
The Patriot,Iron Man,Top Gun,Saving Private Ryan,City of God,The Matrix,American Beauty,The Hateful Eight,The Silence of the Lambs,Goodfellas
Goodfellas,The Shape of Water,Psycho,District 9,Platoon,,,,,
Jurassic Park,The Avengers,The Matrix,Gladiator,Eternal Sunshine of the Spotless Mind,Inglourious Basterds,Avengers: Infinity War,Schindler's List,Blade Runner,The Matrix
The Godfather: Part II,The Pursuit of Happyness,Moon,Once Upon a Time in the West,,,,,,
Avengers: Endgame,Blade Runner,Harry Potter and the Sorcerer's Stone,Captain America: Civil War,The Green Mile,Forrest Gump,Gladiator,Star Wars,The Irishman,
Schindler's List,The Godfather: Part II,E.T. the Extra-Terrestrial,Avengers: Infinity War,Robin Hood: Prince of Thieves,American Psycho,,,,
No Country for Old Men,Raging Bull,The Deer Hunter,District 9,Moonlight,Die Hard,Forrest Gump,Oldboy,300,The Hateful Eight
Birdman,Avatar,Inception,The Departed,Braveheart,The Lost World: Jurassic Park,Monty Python and the Holy Grail,Psycho,The Lord of the Rings,The Departed
The Social Network,Captain America: Civil War,The Sixth Sense,Minority Report,The Departed,La La Land,Goodfellas,Alien,War of the Worlds,
The Godfather: Part II,Die Hard,,,,,,,,
Gone with the Wind,Mad Max: Fury Road,The Departed,Iron Man,,,,,,
Monty Python and the Holy Grail,Life Is Beautiful,E.T. the Extra-Terrestrial,The Day After Tomorrow,Jurassic Park,King Arthur: Legend of the Sword,American Sniper,Mad Max: Fury Road,,
Forrest Gump,The Matrix,The Irishman,Once Upon a Time in the West,Blade Runner,,,,,
La La Land,My Neighbor Totoro,Dunkirk,Moonlight,Die Hard,The Truman Show,,,,
The Sixth Sense,Memento,Goodfellas,Guardians of the Galaxy,Forrest Gump,The Road Warrior,The Departed,,,
300,The Godfather,Taxi Driver,1917,Dunkirk,Spirited Away,Psycho,Star Trek,Eternal Sunshine of the Spotless Mind,Avengers: Infinity War
Captain America: Civil War,Monty Python and the Holy Grail,Gladiator,Children of Men,The Revenant,Fight Club,Eternal Sunshine of the Spotless Mind,The Pursuit of Happyness,Saving Private Ryan,
No Country for Old Men,The Truman Show,Fight Club,King Arthur: Legend of the Sword,City of God,The Dark Knight,The Irishman,,,
The Irishman,Once Upon a Time in Hollywood,Cloverfield,The Grand Budapest Hotel,Memento,Birdman,Braveheart,,,
Whiplash,The Matrix,Jaws,The Terminator,Full Metal Jacket,Casablanca,The Avengers,Lone Survivor,Primer,Monty Python and the Holy Grail
The Shining,War of the Worlds,Scarface,Interstellar,Arrival,,,,,
Lone Survivor,District 9,City of God,The Wolf of Wall Street,My Neighbor Totoro,Jurassic World,Blade Runner 2049,,,
Jurassic Park,The Lord of the Rings,Minority Report,Raiders of the Lost Ark,"The Good, the Bad and the Ugly",King Kong,The Revenant,Django Unchained,Gravity,Alien
Black Panther,The Departed,The Last Samurai,,,,,,,
Once Upon a Time in Hollywood,Star Trek,Forrest Gump,,,,,,,
Dunkirk,Saving Private Ryan,The Irishman,Children of Men,The Sixth Sense,The Pursuit of Happyness,Black Panther,District 9,Iron Man,
Jaws,E.T. the Extra-Terrestrial,The Godfather,The Shawshank Redemption,The Prestige,The Grand Budapest Hotel,Pacific Rim,Black Panther,,
The Godfather: Part II,Gladiator,Heat,Blade Runner,,,,,,
Oldboy,The Godfather,Fury,The Prestige,Apocalypse Now,Eternal Sunshine of the Spotless Mind,Rocky,,,
Forrest Gump,Jaws,Gladiator,Shutter Island,,,,,,
War of the Worlds,Back to the Future,Gladiator,,,,,,,
Goodfellas,The Irishman,Star Wars,Pearl Harbor,,,,,,
The Silence of the Lambs,The Truman Show,Memento,,,,,,,
Seven Samurai,Dunkirk,Once Upon a Time in Hollywood,Primer,Braveheart,Mad Max: Fury Road,Cloverfield,Interstellar,The Road Warrior,
Braveheart,Jurassic Park,,,,,,,,
Pulp Fiction,The Matrix,Jurassic Park,The Shawshank Redemption,My Neighbor Totoro,Pearl Harbor,Top Gun,The Departed,King Kong,
The Deer Hunter,The Big Lebowski,Blade Runner,Fargo,Avatar,2001: A Space Odyssey,,,,
The Last Samurai,Avatar,Spirited Away,Fury,,,,,,
The Dark Knight,Dunkirk,Gladiator,,,,,,,
Robin Hood: Prince of Thieves,Reservoir Dogs,,,,,,,,
Jurassic Park,Once Upon a Time in Hollywood,The Green Mile,Looper,The Departed,District 9,The Wolf of Wall Street,Monty Python and the Holy Grail,In Bruges,
Forrest Gump,Toy Story,The Matrix,Birdman,Once Upon a Time in the West,War of the Worlds,,,,
The Godfather: Part II,Schindler's List,Godzilla,Jurassic Park,Once Upon a Time in Hollywood,The Green Mile,Amélie,Fargo,Blade Runner,Mad Max: Fury Road
Eternal Sunshine of the Spotless Mind,The Green Mile,Schindler's List,,,,,,,
The Shining,Platoon,Back to the Future,,,,,,,
The Terminator,Alien,The Prestige,Avengers: Endgame,Iron Man,American Sniper,,,,
Avatar,300,,,,,,,,
Top Gun,Black Hawk Down,Goodfellas,King Arthur: Legend of the Sword,Pan's Labyrinth,Black Panther,Gravity,The Lost World: Jurassic Park,The Pursuit of Happyness,
The Wizard of Oz,The Lost World: Jurassic Park,Dunkirk,The Irishman,Avengers: Endgame,Gladiator,Se7en,,,
Platoon,The Wizard of Oz,Alien,The Martian,Pulp Fiction,Schindler's List,Shutter Island,The Silence of the Lambs,Predator,Harry Potter and the Sorcerer's Stone
Harry Potter and the Sorcerer's Stone,Predator,The Day After Tomorrow,Avengers: Infinity War,The Pursuit of Happyness,,,,,
Gladiator,Gladiator,The Departed,Captain America: Civil War,The Silence of the Lambs,Shutter Island,The Godfather: Part II,Gravity,,
The Godfather,Mad Max: Fury Road,The Lion King,Eternal Sunshine of the Spotless Mind,Heat,Forrest Gump,Platoon,Raging Bull,,
Blade Runner 2049,Fight Club,300,Saving Private Ryan,The Martian,The Departed,Taxi Driver,Good Will Hunting,Lone Survivor,
The Big Lebowski,Forrest Gump,The Godfather: Part II,Scarface,Looper,Minority Report,The Wizard of Oz,Kill Bill,,
Raiders of the Lost Ark,The Lion King,Spider-Man: Homecoming,The Dark Knight Rises,The Silence of the Lambs,Braveheart,Memento,,,
Jurassic Park,Eternal Sunshine of the Spotless Mind,Gladiator,Spider-Man: Homecoming,Guardians of the Galaxy,The Deer Hunter,Inception,Whiplash,,
Inglourious Basterds,Braveheart,Memento,Lone Survivor,The Departed,The Wizard of Oz,,,,
The Lord of the Rings: The Fellowship of the Ring,Blade Runner 2049,Braveheart,Fight Club,,,,,,
Interstellar,The Sixth Sense,Whiplash,Once Upon a Time in Hollywood,Blade Runner,In Bruges,Braveheart,,,
Casino,Amélie,Kill Bill,Minority Report,,,,,,
Memento,Black Hawk Down,The Sixth Sense,1917,Heat,The Matrix,Dunkirk,Psycho,,
Gladiator,Blade Runner 2049,,,,,,,,
Psycho,Once Upon a Time in Hollywood,Whiplash,The Sixth Sense,The Deer Hunter,The Hobbit,Reservoir Dogs,Pearl Harbor,No Country for Old Men,Star Trek
Back to the Future,Eternal Sunshine of the Spotless Mind,Top Gun,The Grand Budapest Hotel,Inglourious Basterds,In Bruges,Avatar,Kill Bill,Fight Club,
The Matrix,The Shawshank Redemption,The Silence of the Lambs,Forrest Gump,Inception,The Hobbit,Cloverfield,Monty Python and the Holy Grail,Once Upon a Time in the West,Pearl Harbor
Taxi Driver,Pearl Harbor,Dunkirk,Psycho,Forrest Gump,,,,,
Kill Bill,Eternal Sunshine of the Spotless Mind,Forrest Gump,Avatar,Iron Man,,,,,
Alien,Arrival,Dunkirk,The Shining,Moonlight,The Shape of Water,,,,
Die Hard,King Arthur: Legend of the Sword,The Deer Hunter,Mad Max: Fury Road,Gravity,Back to the Future,Blade Runner,The Terminator,My Neighbor Totoro,
Fury,Robin Hood: Prince of Thieves,City of God,Minority Report,Star Trek,Seven Samurai,The Patriot,,,
Memento,Inception,Seven Samurai,Once Upon a Time in Hollywood,Apocalypse Now,,,,,
Jaws,Psycho,,,,,,,,
The Wolf of Wall Street,The Sixth Sense,,,,,,,,
Blade Runner 2049,The Big Lebowski,Jurassic World,Captain America: Civil War,The Lord of the Rings,Forrest Gump,The Lord of the Rings: The Fellowship of the Ring,2001: A Space Odyssey,,
City of God,The Avengers,The Terminator,Braveheart,Fury,Goodfellas,Memento,The Day After Tomorrow,,
Oldboy,Platoon,,,,,,,,
The Irishman,The Hobbit,Troy,Blade Runner,,,,,,
The Godfather,Troy,Memento,The Matrix,Casablanca,Once Upon a Time in the West,Pan's Labyrinth,Independence Day,,
Eternal Sunshine of the Spotless Mind,Forrest Gump,Die Hard,,,,,,,
The Sixth Sense,The Departed,Gladiator,,,,,,,
The Shawshank Redemption,Mad Max: Fury Road,,,,,,,,
The Silence of the Lambs,Pulp Fiction,The Godfather: Part II,,,,,,,
The Terminator,The Silence of the Lambs,War of the Worlds,Saving Private Ryan,,,,,,
Blade Runner,Goodfellas,Back to the Future,The Dark Knight,,,,,,
The Hobbit,Alien,The Departed,King Arthur: Legend of the Sword,Captain America: Civil War,Fight Club,The Sixth Sense,Memento,Ex Machina,
Die Hard,Whiplash,The Road Warrior,Taxi Driver,Pulp Fiction,Kill Bill,,,,
Se7en,Moonlight,The Shape of Water,Life Is Beautiful,Saving Private Ryan,Saving Private Ryan,Primer,,,
Inception,The Lord of the Rings: The Fellowship of the Ring,The Usual Suspects,Star Wars,Avatar,Casablanca,The Lord of the Rings,My Neighbor Totoro,,
Reservoir Dogs,Moon,The Green Mile,,,,,,,
Pulp Fiction,Pacific Rim,Avatar,,,,,,,
Fargo,The Dark Knight,Pacific Rim,The Lost World: Jurassic Park,Top Gun,The Pursuit of Happyness,La La Land,,,
The Lord of the Rings,Whiplash,The Avengers,Fargo,Life Is Beautiful,Eternal Sunshine of the Spotless Mind,Kill Bill,Oldboy,Inception,Shutter Island
1917,Back to the Future,The Sixth Sense,Inception,,,,,,
Godzilla,Shutter Island,Gladiator,Braveheart,,,,,,
Scarface,Jurassic World,The Irishman,King Kong,Black Swan,Jurassic Park,Star Trek,No Country for Old Men,Children of Men,The Revenant
Dunkirk,The Green Mile,Amélie,Whiplash,Alien,Ex Machina,Good Will Hunting,Top Gun,Fargo,
The Deer Hunter,Toy Story,Kill Bill,Seven Samurai,Scarface,Schindler's List,Jurassic Park,,,
American Psycho,The Departed,Saving Private Ryan,300,Black Panther,Blade Runner 2049,Interstellar,The Dark Knight Rises,,
Harry Potter and the Sorcerer's Stone,Eternal Sunshine of the Spotless Mind,The Matrix,Psycho,,,,,,
King Kong,Titanic,Jurassic World,Mad Max: Fury Road,Good Will Hunting,Pearl Harbor,Jurassic Park,American Beauty,,
The Departed,Top Gun,Children of Men,La La Land,Inception,War of the Worlds,The Social Network,The Sixth Sense,Blade Runner,
Gravity,Captain America: Civil War,Donnie Darko,Iron Man,Gladiator,Lone Survivor,Oldboy,,,
The Green Mile,In Bruges,The Road Warrior,Shutter Island,The Departed,,,,,
Once Upon a Time in the West,Casablanca,Schindler's List,Dunkirk,The Road Warrior,King Arthur: Legend of the Sword,Gone with the Wind,The Dark Knight,,
1917,The Last Samurai,,,,,,,,
Blade Runner 2049,Children of Men,The Green Mile,Raiders of the Lost Ark,Troy,,,,,
The Revenant,Rocky,Jurassic World,Casino,,,,,,
The Big Lebowski,The Prestige,The Terminator,The Shawshank Redemption,Interstellar,The Departed,Reservoir Dogs,,,
Braveheart,The Last Samurai,The Matrix,Gravity,Kill Bill,Forrest Gump,,,,
The Prestige,Shutter Island,Avatar,The Patriot,Star Wars,,,,,
American Sniper,Dunkirk,Donnie Darko,Eternal Sunshine of the Spotless Mind,The Departed,Robin Hood: Prince of Thieves,The Revenant,Dunkirk,,
Fight Club,Spider-Man: Homecoming,Dunkirk,,,,,,,
The Shawshank Redemption,Black Swan,Captain America: Civil War,Casino,Interstellar,The Terminator,Troy,,,
Spirited Away,Life Is Beautiful,Amélie,Forrest Gump,Guardians of the Galaxy,The Revenant,The Departed,City of God,,
Saving Private Ryan,Goodfellas,,,,,,,,
Apocalypse Now,Avatar,District 9,,,,,,,
The Revenant,The Grand Budapest Hotel,,,,,,,,
Ex Machina,E.T. the Extra-Terrestrial,The Wolf of Wall Street,,,,,,,
The Deer Hunter,The Lord of the Rings: The Fellowship of the Ring,Dunkirk,The Wolf of Wall Street,Gone with the Wind,,,,,
Reservoir Dogs,The Last Samurai,Fight Club,Primer,Casablanca,Troy,Eternal Sunshine of the Spotless Mind,Interstellar,Predator,My Neighbor Totoro
The Patriot,Amélie,Fight Club,District 9,,,,,,
Raging Bull,Die Hard,Jurassic Park,Captain America: Civil War,Scarface,Apocalypse Now,The Truman Show,,,
Whiplash,Once Upon a Time in Hollywood,1917,Gladiator,Minority Report,Goodfellas,The Hobbit,Casablanca,,
Seven Samurai,La La Land,,,,,,,,
The Day After Tomorrow,The Lost World: Jurassic Park,Predator,Jurassic World,Forrest Gump,Moonlight,The Wolf of Wall Street,The Shining,Oldboy,
Saving Private Ryan,The Green Mile,Life Is Beautiful,The Patriot,The Hobbit,The Sixth Sense,American Sniper,Gone with the Wind,,
The Green Mile,Children of Men,Star Wars,Jurassic Park,,,,,,
Black Panther,Heat,,,,,,,,
Harry Potter and the Sorcerer's Stone,Primer,Taxi Driver,The Departed,,,,,,
Django Unchained,Raging Bull,Independence Day,Gravity,300,Top Gun,Jurassic Park,The Irishman,The Irishman,
E.T. the Extra-Terrestrial,The Shawshank Redemption,My Neighbor Totoro,Children of Men,Princess Mononoke,"The Good, the Bad and the Ugly",Avatar,Fight Club,,
Goodfellas,Mad Max: Fury Road,The Lost World: Jurassic Park,Schindler's List,Blade Runner 2049,The Shining,The Lion King,Casino,Robin Hood: Prince of Thieves,Birdman
The Shawshank Redemption,Saving Private Ryan,1917,Django Unchained,Shutter Island,City of God,Die Hard,The Wizard of Oz,,
The Wizard of Oz,The Departed,My Neighbor Totoro,The Godfather: Part II,American Sniper,Back to the Future,American Beauty,,,
The Pursuit of Happyness,Inception,Interstellar,Braveheart,Star Wars,The Matrix,Back to the Future,Predator,Memento,
The Hobbit,My Neighbor Totoro,War of the Worlds,Forrest Gump,Looper,Titanic,The Departed,,,
Blade Runner,The Deer Hunter,Alien,The Irishman,Goodfellas,,,,,
The Terminator,The Revenant,Django Unchained,The Patriot,American Beauty,Inglourious Basterds,Se7en,Godzilla,The Wizard of Oz,The Prestige
Birdman,Spider-Man: Homecoming,Mad Max: Fury Road,Spirited Away,,,,,,
Iron Man,Oldboy,Avatar,The Green Mile,,,,,,
The Silence of the Lambs,Star Wars,Saving Private Ryan,Jurassic Park,Die Hard,Memento,Looper,The Wizard of Oz,,
American Psycho,Ex Machina,Spider-Man: Homecoming,Spirited Away,Interstellar,Fight Club,Kill Bill,Psycho,Pan's Labyrinth,
Titanic,Fight Club,The Last Samurai,Taxi Driver,Heat,The Matrix,,,,
Shutter Island,Pacific Rim,Back to the Future,,,,,,,
Dunkirk,The Godfather: Part II,Goodfellas,The Shawshank Redemption,The Irishman,King Kong,Goodfellas,,,
The Departed,Shutter Island,Avengers: Infinity War,,,,,,,
Gladiator,The Departed,Fargo,The Pursuit of Happyness,Raging Bull,The Departed,,,,
Amélie,Raiders of the Lost Ark,Taxi Driver,Raging Bull,,,,,,
300,Saving Private Ryan,,,,,,,,
Blade Runner 2049,Forrest Gump,,,,,,,,
Taxi Driver,The Big Lebowski,La La Land,Amélie,,,,,,
Robin Hood: Prince of Thieves,The Wizard of Oz,Black Swan,,,,,,,
Mad Max: Fury Road,Scarface,The Godfather,,,,,,,
Schindler's List,Fight Club,Casino,Cloverfield,Saving Private Ryan,Braveheart,Heat,Top Gun,The Matrix,
Once Upon a Time in the West,The Lord of the Rings: The Fellowship of the Ring,Inception,The Matrix,,,,,,
The Grand Budapest Hotel,Titanic,The Hobbit,Fight Club,,,,,,
Apocalypse Now,The Last Samurai,Schindler's List,The Big Lebowski,Black Panther,Pacific Rim,The Departed,Saving Private Ryan,,
Dunkirk,Memento,The Departed,Black Panther,The Matrix,Schindler's List,Pulp Fiction,Moon,Jurassic Park,The Irishman
300,Rocky,Amélie,Life Is Beautiful,Die Hard,,,,,
The Patriot,Forrest Gump,The Big Lebowski,The Wolf of Wall Street,Robin Hood: Prince of Thieves,Blade Runner,,,,
The Lord of the Rings: The Fellowship of the Ring,The Silence of the Lambs,Robin Hood: Prince of Thieves,American Sniper,2001: A Space Odyssey,,,,,
Jurassic Park,The Patriot,The Terminator,Jurassic Park,Goodfellas,,,,,
The Matrix,Moon,Harry Potter and the Sorcerer's Stone,,,,,,,
Cloverfield,The Lion King,Black Hawk Down,,,,,,,
Goodfellas,The Shawshank Redemption,The Matrix,,,,,,,
Avatar,Cloverfield,Psycho,Saving Private Ryan,Avengers: Endgame,Forrest Gump,1917,Forrest Gump,Braveheart,American Psycho
Inception,Interstellar,Inception,Pacific Rim,The Truman Show,Titanic,The Shawshank Redemption,The Wolf of Wall Street,,
The Silence of the Lambs,The Deer Hunter,District 9,"The Good, the Bad and the Ugly",The Pursuit of Happyness,The Day After Tomorrow,Star Trek,Pearl Harbor,The Departed,
In Bruges,Back to the Future,2001: A Space Odyssey,Saving Private Ryan,,,,,,
Arrival,The Shawshank Redemption,Avatar,Looper,The Patriot,Inception,,,,
Good Will Hunting,The Lost World: Jurassic Park,Black Swan,,,,,,,
The Departed,"The Good, the Bad and the Ugly",The Patriot,Shutter Island,The Matrix,,,,,
Interstellar,Predator,King Kong,The Irishman,Braveheart,,,,,
King Arthur: Legend of the Sword,The Shawshank Redemption,Saving Private Ryan,Fury,,,,,,
King Arthur: Legend of the Sword,Whiplash,Inglourious Basterds,Blade Runner,,,,,,
Black Swan,Jurassic World,Eternal Sunshine of the Spotless Mind,The Silence of the Lambs,Fury,The Grand Budapest Hotel,,,,
Pulp Fiction,Cloverfield,Ex Machina,No Country for Old Men,King Arthur: Legend of the Sword,Top Gun,,,,
Gravity,The Godfather: Part II,Goodfellas,Inception,,,,,,
The Truman Show,American Sniper,Pearl Harbor,,,,,,,
Casino,The Patriot,Interstellar,The Road Warrior,Saving Private Ryan,Platoon,The Lost World: Jurassic Park,Raging Bull,Captain America: Civil War,My Neighbor Totoro
Star Trek,Gravity,,,,,,,,
Jurassic World,Whiplash,,,,,,,,
Se7en,The Social Network,Guardians of the Galaxy,Reservoir Dogs,The Godfather,Black Hawk Down,Robin Hood: Prince of Thieves,The Lord of the Rings,,
Apocalypse Now,Psycho,The Godfather: Part II,Predator,Jaws,The Departed,Avengers: Endgame,Moon,Inglourious Basterds,The Matrix
The Irishman,Full Metal Jacket,Jurassic World,The Avengers,Gravity,Jurassic Park,,,,
Primer,Moonlight,The Irishman,The Last Samurai,Reservoir Dogs,The Big Lebowski,Schindler's List,Cloverfield,,
The Terminator,Schindler's List,Saving Private Ryan,Good Will Hunting,Iron Man,Rocky,The Departed,Donnie Darko,,
Titanic,The Departed,Braveheart,Top Gun,Die Hard,,,,,
The Avengers,The Usual Suspects,The Wizard of Oz,American Psycho,,,,,,
The Silence of the Lambs,Titanic,The Shawshank Redemption,The Dark Knight,,,,,,
The Martian,Dunkirk,The Pursuit of Happyness,Moonlight,Godzilla,Mad Max: Fury Road,,,,
The Matrix,The Revenant,In Bruges,Pearl Harbor,Apocalypse Now,Monty Python and the Holy Grail,Django Unchained,,,
The Revenant,Shutter Island,,,,,,,,
The Green Mile,Harry Potter and the Sorcerer's Stone,The Matrix,,,,,,,
Donnie Darko,Eternal Sunshine of the Spotless Mind,The Dark Knight Rises,Troy,The Godfather: Part II,,,,,
Primer,The Godfather: Part II,Children of Men,Braveheart,The Irishman,Blade Runner,La La Land,,,
The Irishman,Forrest Gump,Gladiator,,,,,,,
The Hateful Eight,Psycho,Fury,Blade Runner,Die Hard,,,,,
Avatar,Arrival,No Country for Old Men,Troy,In Bruges,Titanic,,,,
Memento,Se7en,The Terminator,In Bruges,,,,,,
The Departed,Cloverfield,Arrival,Blade Runner 2049,,,,,,
Heat,Saving Private Ryan,,,,,,,,
The Wizard of Oz,Back to the Future,The Lion King,The Departed,Fury,War of the Worlds,Birdman,The Silence of the Lambs,Minority Report,
King Arthur: Legend of the Sword,Whiplash,The Shining,Gravity,The Last Samurai,Pearl Harbor,,,,
Saving Private Ryan,The Silence of the Lambs,The Matrix,Platoon,,,,,,
The Godfather: Part II,Ex Machina,Dunkirk,Gravity,The Last Samurai,Casino,Raiders of the Lost Ark,,,
The Wizard of Oz,La La Land,The Pursuit of Happyness,Blade Runner 2049,The Lord of the Rings,Braveheart,Once Upon a Time in Hollywood,Alien,Mad Max: Fury Road,The Terminator
The Matrix,Dunkirk,Harry Potter and the Sorcerer's Stone,In Bruges,,,,,,
The Silence of the Lambs,Fight Club,Good Will Hunting,Pan's Labyrinth,,,,,,
